id,name,picture_url,host_since,host_verifications,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,formatted_amenities,performance_score
4952,Butterfly Inn near Stanford with weekly cleaning,https://a0.muscache.com/pictures/airflow/Hosting-4952/original/f2adf4d3-852a-424c-a3c4-32728fbccb9e.jpg,2009-01-24,"[""email"", ""phone"", ""work_email""]",t,t,37.43932,-122.15741,Private room,Private room,1,2.0,1.0,1.0,"[""Paid street parking off premises"", ""Bed linens"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Coffee"", ""Outdoor dining area"", ""Freezer"", ""Toaster"", ""Oven"", ""Hair dryer"", ""Wine glasses"", ""Blender"", ""Fire extinguisher"", ""Private backyard \u2013 Fully fenced"", ""First aid kit"", ""Hangers"", ""Essentials"", ""Heating"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Kitchen"", ""Shampoo"", ""Barbecue utensils"", ""Mini fridge"", ""Coffee maker"", ""Refrigerator"", ""Portable fans"", ""Free washer \u2013 In unit"", ""Indoor fireplace: wood-burning"", ""Dishes and silverware"", ""Host greets you"", ""Rice maker"", ""Bathtub"", ""Hot water"", ""Hot water kettle"", ""Gas stove"", ""Board games"", ""Fast wifi \u2013 611 Mbps"", ""Baking sheet"", ""Free dryer \u2013 In unit"", ""Lock on bedroom door"", ""Outdoor furniture"", ""Clothing storage: closet"", ""BBQ grill: charcoal"", ""Smoke alarm"", ""Piano"", ""Dedicated workspace"", ""Dishwasher"", ""Dining table"", ""Extra pillows and blankets"", ""Books and reading material"", ""Iron"", ""Private entrance"", ""Microwave""]",73.0,3,365,t,0,0,0,169,96,4.84,4.84,4.87,4.89,4.82,4.92,4.76,f,0.51,"[""Kitchen"", ""Entertainment"", ""Connectivity"", ""Climate Control"", ""Laundry"", ""Bathroom"", ""Safety"", ""Essentials"", ""Workspace"", ""Easy Access"", ""Parking"", ""Outdoors""]",63.2
11464,Deluxe Studio near Kaiser SC:Traveler/Tesla intern,https://a0.muscache.com/pictures/121321/2c5a5a65_original.jpg,2009-09-30,"[""email"", ""phone""]",t,f,37.34415,-121.98701,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,"[""Paid dryer \u2013 In building"", ""Carbon monoxide alarm"", ""Pets allowed"", ""Building staff"", ""Oven"", ""Hair dryer"", ""Free parking on premises"", ""Fire extinguisher"", ""Hangers"", ""Heating"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Paid washer \u2013 In building"", ""Coffee maker"", ""Refrigerator"", ""Dishes and silverware"", ""Free street parking"", ""Hot water"", ""Window AC unit"", ""Outdoor furniture"", ""Electric stove"", ""Courtyard view"", ""Smoke alarm"", ""Dedicated workspace"", ""Single level home"", ""39 inch TV with standard cable"", ""Self check-in"", ""Iron"", ""Microwave"", ""Shared outdoor pool - available all year""]",97.0,3,365,t,9,39,69,158,24,4.54,4.83,4.75,4.96,4.92,4.79,4.63,f,0.19,"[""Kitchen"", ""Entertainment"", ""Connectivity"", ""Climate Control"", ""Laundry"", ""Bathroom"", ""Safety"", ""Essentials"", ""Workspace"", ""Easy Access"", ""Parking"", ""Outdoors"", ""Scenic View""]",39.43
21373,Bonsai Garden near Stanford with weekly cleaning,https://a0.muscache.com/pictures/airflow/Hosting-21373/original/1226bd2f-294d-4ae8-871b-3f27fadb0497.jpg,2009-01-24,"[""email"", ""phone"", ""work_email""]",t,t,37.43972,-122.15532,Private room,Private room,1,2.0,1.0,1.0,"[""Paid street parking off premises"", ""Bed linens"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Coffee"", ""Clothing storage: walk-in closet"", ""Freezer"", ""Outdoor dining area"", ""Toaster"", ""Oven"", ""Hair dryer"", ""Wine glasses"", ""Blender"", ""Fire extinguisher"", ""Laundromat nearby"", ""Private backyard \u2013 Fully fenced"", ""First aid kit"", ""Hangers"", ""Essentials"", ""Heating"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Kitchen"", ""Mountain view"", ""Barbecue utensils"", ""Mini fridge"", ""Coffee maker"", ""Refrigerator"", ""Portable fans"", ""Free washer \u2013 In unit"", ""Indoor fireplace: wood-burning"", ""Dishes and silverware"", ""Host greets you"", ""Rice maker"", ""Bathtub"", ""Hot water"", ""Hot water kettle"", ""Gas stove"", ""Board games"", ""Baking sheet"", ""Free dryer \u2013 In unit"", ""Lock on bedroom door"", ""Outdoor furniture"", ""Fast wifi \u2013 426 Mbps"", ""BBQ grill: charcoal"", ""Smoke alarm"", ""Piano"", ""Dedicated workspace"", ""Dishwasher"", ""Dining table"", ""Extra pillows and blankets"", ""Books and reading material"", ""Iron"", ""Garden view"", ""Private entrance"", ""Microwave""]",65.0,5,365,t,4,5,23,298,280,4.88,4.83,4.8,4.85,4.89,4.97,4.74,f,1.58,"[""Kitchen"", ""Entertainment"", ""Connectivity"", ""Climate Control"", ""Laundry"", ""Bathroom"", ""Safety"", ""Essentials"", ""Workspace"", ""Easy Access"", ""Parking"", ""Outdoors"", ""Scenic View""]",42.27
62799,"Zen Bedroom in Palo Alto, includes weekly cleaning",https://a0.muscache.com/pictures/airflow/Hosting-62799/original/b40c77f9-b52f-4573-8c8c-7f7ff0322d9a.jpg,2009-01-24,"[""email"", ""phone"", ""work_email""]",t,t,37.43934,-122.15723,Private room,Private room,1,2.0,1.0,3.0,"[""Paid street parking off premises"", ""Bed linens"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Coffee"", ""Clothing storage: walk-in closet"", ""Freezer"", ""Outdoor dining area"", ""Toaster"", ""Oven"", ""Hair dryer"", ""Wine glasses"", ""Blender"", ""Fire extinguisher"", ""Private backyard \u2013 Fully fenced"", ""First aid kit"", ""Hangers"", ""Essentials"", ""Fast wifi \u2013 375 Mbps"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Kitchen"", ""Shampoo"", ""Mountain view"", ""HDTV with Netflix, standard cable, Amazon Prime Video"", ""Barbecue utensils"", ""Mini fridge"", ""Coffee maker"", ""Refrigerator"", ""Central heating"", ""Portable fans"", ""Free washer \u2013 In unit"", ""Indoor fireplace: wood-burning"", ""Dishes and silverware"", ""Host greets you"", ""Rice maker"", ""Bathtub"", ""Hot water"", ""Hot water kettle"", ""Gas stove"", ""Board games"", ""Baking sheet"", ""Free dryer \u2013 In unit"", ""Lock on bedroom door"", ""Outdoor furniture"", ""Smoke alarm"", ""Piano"", ""Dedicated workspace"", ""Dishwasher"", ""Dining table"", ""Extra pillows and blankets"", ""Books and reading material"", ""Iron"", ""Garden view"", ""Private entrance"", ""Microwave""]",85.0,14,365,t,5,5,13,136,164,4.89,4.9,4.85,4.87,4.91,4.96,4.79,f,1.28,"[""Kitchen"", ""Entertainment"", ""Connectivity"", ""Climate Control"", ""Laundry"", ""Bathroom"", ""Safety"", ""Essentials"", ""Workspace"", ""Easy Access"", ""Parking"", ""Outdoors"", ""Scenic View""]",73.69
75284,Garden Oasis walk to Stanford with weekly cleaning,https://a0.muscache.com/pictures/airflow/Hosting-75284/original/b3c24058-d72e-4c1e-bf1a-8bab7ee28098.jpg,2009-01-24,"[""email"", ""phone"", ""work_email""]",t,t,37.43923,-122.15745,Private room,Private room,1,2.0,1.0,1.0,"[""Paid street parking off premises"", ""Bed linens"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Coffee"", ""Clothing storage: walk-in closet"", ""Freezer"", ""Outdoor dining area"", ""Toaster"", ""Oven"", ""Hair dryer"", ""Wine glasses"", ""Blender"", ""Private patio or balcony"", ""Fire extinguisher"", ""Private backyard \u2013 Fully fenced"", ""First aid kit"", ""Hangers"", ""Essentials"", ""Heating"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Kitchen"", ""Mountain view"", ""HDTV with Netflix, standard cable, Amazon Prime Video"", ""Barbecue utensils"", ""Mini fridge"", ""Coffee maker"", ""Refrigerator"", ""Portable fans"", ""Free washer \u2013 In unit"", ""Indoor fireplace: wood-burning"", ""Dishes and silverware"", ""Host greets you"", ""Rice maker"", ""Bathtub"", ""Hot water"", ""Hot water kettle"", ""Gas stove"", ""Board games"", ""Baking sheet"", ""Free dryer \u2013 In unit"", ""Lock on bedroom door"", ""Outdoor furniture"", ""Fast wifi \u2013 556 Mbps"", ""BBQ grill: charcoal"", ""Smoke alarm"", ""Piano"", ""Dedicated workspace"", ""Dishwasher"", ""Dining table"", ""Extra pillows and blankets"", ""Books and reading material"", ""Iron"", ""Garden view"", ""Private entrance"", ""Microwave""]",65.0,5,365,t,4,4,5,206,226,4.87,4.87,4.9,4.9,4.92,4.95,4.78,f,1.36,"[""Kitchen"", ""Entertainment"", ""Connectivity"", ""Climate Control"", ""Laundry"", ""Bathroom"", ""Safety"", ""Essentials"", ""Workspace"", ""Easy Access"", ""Parking"", ""Outdoors"", ""Scenic View""]",51.52
106365,Luxurious Private Quiet Home NearMain St Cupertino,https://a0.muscache.com/pictures/miso/Hosting-106365/original/6f79ee8b-ed79-416f-84ed-9dcf17558b1d.jpeg,2011-05-02,"[""email"", ""phone"", ""work_email""]",t,t,37.32194,-122.00511,Entire guesthouse,Entire home/apt,4,1.0,1.0,1.0,"[""Long term stays allowed"", ""Carbon monoxide alarm"", ""42 inch HDTV with standard cable"", ""Outdoor dining area"", ""Breakfast"", ""Private patio or balcony"", ""Oven"", ""Hair dryer"", ""Free parking on premises"", ""Fire extinguisher"", ""First aid kit"", ""Hangers"", ""Essentials"", ""High chair"", ""Children\u2019s dinnerware"", ""Heating"", ""Cooking basics"", ""Pack \u2019n play/Travel crib"", ""Children\u2019s books and toys"", ""Private backyard \u2013 Not fully fenced"", ""Luggage dropoff allowed"", ""Fire pit"", ""Kitchen"", ""Shampoo"", ""Lockbox"", ""Wifi"", ""Baby bath"", ""Baby monitor"", ""Central air conditioning"", ""Outlet covers"", ""Refrigerator"", ""Free washer \u2013 In unit"", ""Coffee maker"", ""Crib"", ""Dishes and silverware"", ""Free street parking"", ""Bathtub"", ""Hot water"", ""Free dryer \u2013 In unit"", ""Outdoor furniture"", ""Courtyard view"", ""Smoke alarm"", ""Changing table"", ""Dedicated workspace"", ""Dishwasher"", ""Single level home"", ""Self check-in"", ""Iron"", ""Garden view"", ""Private entrance"", ""Microwave"", ""GE stainless steel electric stove""]",189.0,30,1125,t,29,48,53,320,188,4.93,4.92,4.98,4.96,4.95,4.89,4.89,f,1.16,"[""Kitchen"", ""Entertainment"", ""Connectivity"", ""Climate Control"", ""Laundry"", ""Bathroom"", ""Safety"", ""Essentials"", ""Workspace"", ""Easy Access"", ""Parking"", ""Outdoors"", ""Family Friendly"", ""Scenic View""]",45.78
118903,"Entire Guest Suite, Entrance@ House of Chauncey",https://a0.muscache.com/pictures/miso/Hosting-118903/original/064559b6-be07-4ff0-a5e8-12af51c3c3fb.jpeg,2011-05-18,"[""email"", ""phone""]",t,f,37.38466,-122.03628,Entire guest suite,Entire home/apt,2,1.0,1.0,2.0,"[""Bed linens"", ""Body soap"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Coffee"", ""Outdoor dining area"", ""Private patio or balcony"", ""Hair dryer"", ""Free parking on premises"", ""Fire extinguisher"", ""First aid kit"", ""Hangers"", ""Essentials"", ""Heating"", ""HDTV with Roku"", ""Fast wifi \u2013 419 Mbps"", ""Conditioner"", ""Shampoo"", ""Lockbox"", ""Mini fridge"", ""Refrigerator"", ""Portable fans"", ""Dishes and silverware"", ""Coffee maker: Keurig coffee machine"", ""Free street parking"", ""Bathtub"", ""Hot water"", ""Hot water kettle"", ""Window AC unit"", ""Board games"", ""Bidet"", ""Outdoor furniture"", ""Shower gel"", ""Clothing storage: closet"", ""Smoke alarm"", ""Dedicated workspace"", ""Single level home"", ""Extra pillows and blankets"", ""Self check-in"", ""Iron"", ""Private entrance"", ""Microwave""]",100.0,5,1125,t,2,20,50,50,156,4.97,4.92,4.92,4.98,4.97,4.88,4.79,f,0.94,"[""Kitchen"", ""Entertainment"", ""Connectivity"", ""Climate Control"", ""Laundry"", ""Bathroom"", ""Safety"", ""Essentials"", ""Workspace"", ""Easy Access"", ""Parking"", ""Outdoors""]",53.2
134606,"Private Room, Cozy Home Downtown SJ",https://a0.muscache.com/pictures/13918665/ca5d6419_original.jpg,2011-06-03,"[""email"", ""phone"", ""work_email""]",t,t,37.34602,-121.88821,Private room in home,Private room,1,0.5,1.0,1.0,"[""Lock on bedroom door"", ""Wifi"", ""Hot water"", ""Free parking on premises"", ""Fire extinguisher"", ""Washer"", ""First aid kit"", ""Essentials"", ""Heating"", ""TV with standard cable"", ""Smoke alarm"", ""Coffee maker"", ""Indoor fireplace"", ""Dishes and silverware"", ""Free street parking"", ""Shampoo"", ""Dryer"", ""Smoking allowed""]",70.0,1,60,t,0,0,0,84,186,4.79,4.78,4.54,4.88,4.94,4.61,4.78,f,1.14,"[""Kitchen"", ""Entertainment"", ""Connectivity"", ""Climate Control"", ""Laundry"", ""Bathroom"", ""Safety"", ""Essentials"", ""Parking""]",72.55
231717,B&B: Quiet Bedroom & Bathroom,https://a0.muscache.com/pictures/2411297/023914d4_original.jpg,2011-09-26,"[""email"", ""phone""]",t,t,37.34751,-121.98418,Private room in home,Private room,2,1.5,1.0,1.0,"[""Free parking on premises"", ""Hangers"", ""Essentials"", ""Heating"", ""TV with standard cable"", ""Pets allowed"", ""Shampoo"", ""Wifi"", ""Hair dryer""]",89.0,1,6,t,29,59,89,364,146,4.76,4.78,4.8,4.85,4.87,4.71,4.69,f,0.94,"[""Entertainment"", ""Connectivity"", ""Climate Control"", ""Laundry"", ""Bathroom"", ""Essentials"", ""Parking""]",45.07
241788,Santana Row MOD Condo1 LOFTstyle on the QUIET side,https://a0.muscache.com/pictures/2556147/9a1c31da_original.jpg,2011-10-09,"[""email"", ""phone""]",t,t,37.3205,-121.94844,Entire loft,Entire home/apt,4,1.0,1.0,1.0,"[""Long term stays allowed"", ""Washer"", ""Carbon monoxide alarm"", ""Pets allowed"", ""Private patio or balcony"", ""Oven"", ""Hair dryer"", ""Free parking on premises"", ""First aid kit"", ""Hangers"", ""Essentials"", ""Heating"", ""Cooking basics"", ""Pack \u2019n play/Travel crib"", ""Kitchen"", ""Shampoo"", ""Wifi"", ""Dryer"", ""Elevator"", ""Coffee maker"", ""Central air conditioning"", ""Refrigerator"", ""Dishes and silverware"", ""Free street parking"", ""Host greets you"", ""Hot water"", ""TV with Roku, standard cable"", ""Smoke alarm"", ""Dedicated workspace"", ""Dishwasher"", ""Stove"", ""Single level home"", ""Iron"", ""Microwave"", ""Room-darkening shades""]",199.0,28,365,t,19,28,28,143,157,4.94,4.96,4.93,4.98,4.97,5.0,4.86,f,0.98,"[""Kitchen"", ""Entertainment"", ""Connectivity"", ""Climate Control"", ""Laundry"", ""Bathroom"", ""Safety"", ""Essentials"", ""Workspace"", ""Easy Access"", ""Parking"", ""Outdoors"", ""Family Friendly""]",68.21
